0,7,1,13
1,2,8,4
2,1,11,1
3,0,10,3
4,4,3,11
5,1,0,15
6,4,0,7
7,9,1,15
8,5,6,15
9,9,8,16
10,0,8,8
11,6,8,1
12,9,2,13
13,0,11,7
14,1,5,4
15,5,16,9
16,9,2,1
17,7,13,15
18,3,7,8
19,4,14,12
20,9,2,15
21,6,1,16
22,6,3,11
23,5,12,9
24,4,3,5
25,0,3,12
26,7,15,5
27,4,12,12
28,0,12,5
29,1,15,7
30,3,14,8
31,1,7,9
32,3,13,0
33,4,16,0
34,7,4,2
35,2,3,10
36,7,2,2
37,1,8,13
38,2,13,3
39,1,3,12
40,1,14,4
41,7,11,4
42,4,8,5
43,2,15,11
44,3,2,3
45,5,11,14
46,1,16,9
47,2,3,8
48,4,12,9
49,4,5,16
50,6,7,2
51,3,5,3
52,5,5,2
53,5,8,10
54,6,9,5
55,0,2,6
56,4,4,13
57,1,10,11
58,9,0,10
59,5,10,11
60,7,14,13
61,8,15,9
62,9,13,6
63,3,0,2
64,7,4,5
65,4,3,13
66,6,9,8
67,4,6,10
68,3,9,0
69,0,11,13
70,7,14,0
71,0,12,0
72,2,1,16
73,9,15,5
74,1,3,1
75,7,3,8
76,3,1,11
77,2,8,15
78,9,16,4
79,7,9,4
80,7,9,15
81,6,0,1
82,2,5,7
83,7,6,14
84,8,5,13
85,4,10,10
86,7,14,8
87,3,0,5
88,6,13,8
89,1,1,8
90,3,14,14
91,6,6,1
92,9,5,1
93,3,14,0
94,1,11,6
95,4,9,8
96,1,12,2
97,7,8,10
98,6,12,1
99,9,15,3
100,6,13,12
101,0,16,10
102,5,11,4
103,4,11,2
104,9,11,11
105,9,6,3
106,2,5,3
107,1,15,7
108,9,5,11
109,4,8,4
110,8,9,1
111,7,8,3
112,3,0,13
113,9,15,3
114,7,11,14
115,4,3,7
116,4,3,0
117,4,16,5
118,9,2,1
119,2,9,2
120,5,0,7
121,4,14,12
122,7,6,12
123,6,10,8
124,7,7,14
125,9,13,10
126,0,14,10
127,5,14,2
128,8,16,5
129,5,2,0
130,6,7,9
131,6,6,1
132,5,13,6
133,7,16,13
134,8,12,3
135,1,5,4
136,0,16,7
137,1,16,5
138,6,9,16
139,4,5,5
140,6,7,10
141,7,1,14
142,3,2,14
143,1,0,12
144,7,13,8
145,1,3,11
146,8,1,6
147,2,0,5
148,0,16,10
149,2,0,0
150,9,10,12
151,9,5,10
152,5,9,14
153,5,2,13
154,1,2,11
155,5,13,11
156,6,7,8
157,0,11,14
158,3,1,10
159,4,13,13
160,4,4,12
161,6,11,0
162,5,2,2
163,4,7,11
164,6,0,13
165,5,9,4
166,4,13,5
167,5,9,15
168,1,11,15
169,4,5,2
170,4,0,1
171,7,11,7
172,2,10,15
173,3,3,12
174,2,16,4
175,7,2,1
176,1,11,11
177,8,3,10
178,1,14,0
179,8,8,9
180,1,2,2
181,8,15,5
182,5,15,10
183,0,11,12
184,8,14,3
185,9,13,10
186,2,10,3
